[Header]
TITLE,H241008(P240917-KClO3).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,6.81,MASS:Sample Mass (mg)
INFO,0.05,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
1597196.2,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1171.cal|Addenda #159 measured on 07/10/24 from 2.1315 to 299.29 K
1603227.45,,5905,3.33766,3.3338,0.619,9.3E-6,3.3406609,0.035152743,119.38838,0.9509,0.84069529,0.003396,2.0610653,0.003768,2.2854049,0.69022337,0.0072575627,95.69981,199.08581,0.6924,1,,,,3.0336336E-6,1.3860478,11.160015,35.737954,0
1603601.94,,5905,3.79035,3.794,0.619,9.4E-6,3.7873261,0.037227857,135.56119,1.114,1.2188027,0.004604,2.6044887,0.005119,1.6478364,0.74465541,0.0085773944,95.462421,216.34633,0.7959,1,,,,3.5451908E-6,1.3804467,14.343839,35.793377,0
1603628.27,,5905,3.79043,3.7942,0.619,9.4E-6,3.7883601,0.039199467,135.46298,1.111,1.220046,0.00461,2.6047281,0.005059,0.85779643,0.74357865,0.0084306618,95.532951,216.45768,0.7934,1,,,,3.5497895E-6,1.4893108,14.351672,35.757683,0
1603654.94,,5905,3.79027,3.7937,0.619,9.4E-6,3.7882733,0.039130736,135.51822,1.111,1.2199495,0.004609,2.6051962,0.00505,1.8823371,0.74208337,0.0084657865,95.505626,216.42331,0.7927,1,,,,3.5579071E-6,1.4871573,14.351015,35.773083,0
1605150.22,,5905,4.31143,4.3648,0.619,9.3E-6,4.3204977,0.041237616,160.19709,1.539,1.7836595,0.00679,3.4211699,0.01015,0.096709645,0.8682143,0.011642303,94.775893,233.44119,1.052,1,,,,3.9909122E-6,1.4841667,18.666701,37.078387,0
1605178.72,,5905,4.31343,4.3629,0.619,9.3E-6,4.3251986,0.045913182,158.81722,1.536,1.7860315,0.006798,3.4094371,0.01021,0.02633511,0.83777146,0.010175031,95.255147,234.37005,1.063,1,,,,4.1161822E-6,1.7364286,18.707343,36.71906,0
1605214.61,,5905,4.31005,4.3586,0.619,9.4E-6,4.3208933,0.044841731,160.66435,1.376,1.7809064,0.006782,3.4231931,0.007235,0.60076097,0.83413187,0.010172549,95.237454,233.23602,0.9129,1,,,,4.1517241E-6,1.6755429,18.670119,37.183131,0
1605459.95,,5905,4.88766,4.9295,0.619,9.3E-6,4.8898167,0.047129414,197.02251,1.689,2.504324,0.008033,4.5182583,0.008908,0.41810673,0.95771448,0.0141996,94.205285,246.59378,0.9666,1,,,,4.7762849E-6,1.6682637,23.910307,40.292412,0
1605488.5,,5905,4.88567,4.9262,0.619,9.4E-6,4.8898266,0.050730265,196.84496,1.669,2.5047614,0.008033,4.5168808,0.008542,1.1013463,0.9507118,0.013157485,94.57829,246.6684,0.9524,1,,,,4.8058651E-6,1.915429,23.910404,40.256021,0
1605516.95,,5905,4.88872,4.9254,0.619,9.3E-6,4.8934775,0.050162126,195.10628,1.651,2.5094501,0.008032,4.503797,0.008387,0.66918879,0.92687718,0.011070809,95.295881,247.58389,0.9529,1,,,,4.9067162E-6,1.9014236,23.946122,39.870682,0
1605762.52,,5905,5.55429,5.606,0.619,9.4E-6,5.5576737,0.05081419,241.7738,2.284,3.5911229,0.01264,6.0624981,0.01469,0.2578218,1.009635,0.010058807,95.983994,261.78931,1.158,1,,,,6.0468163E-6,1.8537544,30.887737,43.502697,0
1605790.67,,5905,5.55343,5.6089,0.619,9.4E-6,5.5577501,0.054058346,243.94886,2.243,3.5926515,0.01266,6.0862599,0.01379,0.16500801,1.0660846,0.014130859,94.710117,261.01253,1.119,1,,,,5.7632356E-6,2.01927,30.888586,43.893457,0
1605819.03,,5905,5.55449,5.6119,0.619,9.4E-6,5.5595496,0.055948325,246.29683,2.257,3.5968213,0.01269,6.1144302,0.01381,0.12840854,1.0905856,0.016151813,94.120513,260.2647,1.111,1,,,,5.6668357E-6,2.1321693,30.908592,44.30158,0
1606159.8,,5905,6.3154,6.3831,0.619,9.4E-6,6.3158331,0.058272243,317.69908,3.418,5.1510918,0.0249,8.3985637,0.02554,0.6751743,1.2619704,0.019613202,93.731973,271.61507,1.373,1,,,,6.7227202E-6,2.1811713,39.889747,50.302007,0
1606196.52,,5905,6.31751,6.3848,0.619,9.3E-6,6.3179429,0.064681415,320.06595,3.533,5.1587956,0.02496,8.4304613,0.02697,0.44761557,1.3434453,0.025516338,92.420803,271.0344,1.404,1,,,,6.3542775E-6,2.5239408,39.916403,50.659837,0
1606228.33,,5905,6.31921,6.3842,0.619,9.3E-6,6.322049,0.066460371,322.01098,3.5,5.1614575,0.02498,8.453005,0.02639,0.3062869,1.2926911,0.022728876,92.963822,270.66338,1.382,1,,,,6.6154792E-6,2.6868906,39.968303,50.934591,0
1606474.17,,5905,7.17106,7.2465,0.619,9.4E-6,7.170669,0.066070592,421.59047,5.431,7.2060571,0.0449,11.515491,0.04561,1.1947186,1.4516972,0.022764743,93.609275,280.62376,1.669,1,,,,8.0094962E-6,2.5853821,51.418495,58.793742,0
1606504.81,,5905,7.17264,7.2496,0.619,9.4E-6,7.1750663,0.071833149,422.15346,5.5,7.2117539,0.04496,11.526943,0.04644,0.083246806,1.4459183,0.020812421,94.112814,280.67097,1.686,1,,,,8.0429743E-6,2.9033943,51.481576,58.836175,0
1606535.83,,5905,7.17687,7.2541,0.619,9.4E-6,7.1772441,0.072386161,424.46067,5.593,7.218636,0.04504,11.557409,0.04748,0.12601968,1.5029867,0.027168788,92.691466,280.24655,1.7,1,,,,7.7766685E-6,2.8918366,51.512833,59.139784,0
1606796.17,,5905,8.14913,8.232,0.619,9.3E-6,8.1451212,0.075805277,575.02505,6.344,10.017417,0.04684,15.895236,0.0484,0.40277456,1.7050815,0.025673177,93.826637,287.42931,1.488,1,,,,9.4074391E-6,3.0059734,66.342999,70.597483,0
1606829.55,,5905,8.15347,8.2353,0.619,9.3E-6,8.1521205,0.081709996,575.15746,6.353,10.041796,0.04673,15.920968,0.04851,0.38436176,1.7055294,0.025809571,93.793748,287.65423,1.491,1,,,,9.4204477E-6,3.410163,66.457068,70.553111,0
1606863.28,,5905,8.15497,8.238,0.619,9.4E-6,8.1523536,0.082043773,582.90456,6.329,10.043566,0.04672,16.001928,0.04767,1.4593066,1.7513892,0.028643814,93.33613,286.38242,1.46,1,,,,9.2286683E-6,3.4110587,66.460869,71.501383,0
1607129.5,,5905,9.26417,9.3508,0.619,9.4E-6,9.2540845,0.08484956,816.80844,8.424,13.81784,0.0594,22.167132,0.06047,3.8190178,2.040866,0.032105409,93.6041,290.50614,1.409,1,,,,1.0968619E-5,3.5027784,85.63808,88.26464,0
1607166.17,,5905,9.26812,9.3532,0.619,9.4E-6,9.2619302,0.09401133,819.32656,8.427,13.841186,0.05957,22.216218,0.06033,2.5095494,2.0400408,0.032068835,93.610474,290.45426,1.405,1,,,,1.0997424E-5,4.081732,85.783352,88.46175,0
1607202.5,,5905,9.2711,9.3565,0.619,9.3E-6,9.2645837,0.094280373,818.92659,8.472,13.851455,0.05965,22.222399,0.06101,0.45226372,2.0570155,0.03322409,93.441317,290.58477,1.414,1,,,,1.0912605E-5,4.0800816,85.83251,88.393242,0
1607475.61,,5905,10.532,10.6167,0.619,9.4E-6,10.511122,0.096930637,1171.8935,12.96,18.839135,0.09715,30.818053,0.09905,0.50710055,2.4336836,0.038524481,93.631313,292.56,1.518,1,,,,1.2795381E-5,4.114031,110.48368,111.49081,0
1607513.72,,5905,10.5358,10.6194,0.619,9.3E-6,10.519943,0.10773195,1177.6036,12.94,18.872487,0.09737,30.909773,0.09839,2.084901,2.4418748,0.038728201,93.62335,292.3315,1.507,1,,,,1.2791094E-5,4.8673673,110.6692,111.94011,0
1607553,,5905,10.5387,10.6215,0.619,9.4E-6,10.523343,0.1078183,1178.5189,12.95,18.887008,0.09747,30.93365,0.09854,1.5467745,2.4348351,0.038054247,93.71222,292.35025,1.508,1,,,,1.2835972E-5,4.8837497,110.74074,111.99093,0
1607840.25,,5905,11.9725,12.0499,0.619,9.4E-6,11.938351,0.1097587,1702.169,16.36,25.543082,0.1056,42.942396,0.1079,1.2308668,2.9083916,0.045758368,93.743337,293.408,1.322,1,,,,1.4929394E-5,4.8696702,142.52423,142.57991,0
1607882.38,,5905,11.977,12.0545,0.619,9.4E-6,11.949748,0.12235665,1700.9771,16.32,25.59688,0.1056,42.98401,0.1073,3.6634251,2.9044811,0.044162803,93.942322,293.75668,1.321,1,,,,1.4957786E-5,5.8167832,142.79647,142.34418,0
1607924.13,,5905,11.98,12.0579,0.619,9.3E-6,11.952261,0.12237563,1704.4892,16.34,25.609997,0.1056,43.033028,0.1074,2.504815,2.9161898,0.04486657,93.874901,293.61651,1.32,1,,,,1.4916918E-5,5.8089623,142.85654,142.6081,0
1608222.53,,5905,13.6063,13.6976,0.619,9.4E-6,13.568314,0.12363418,2502.9356,24.4,34.612912,0.1605,60.197541,0.1641,2.1233798,3.5158526,0.053315308,94.028521,293.24948,1.342,1,,,,1.7321221E-5,5.8323797,184.09915,184.46917,0
1608267.61,,5905,13.6123,13.7018,0.619,9.3E-6,13.580586,0.13861129,2512.6914,24.58,34.684817,0.161,60.369168,0.166,0.44549927,3.5344657,0.054548306,93.927901,293.13433,1.346,1,,,,1.7283178E-5,7.0317053,184.43231,185.02085,0
1608312.72,,5905,13.6159,13.7038,0.619,9.4E-6,13.584426,0.13885111,2499.6086,24.36,34.706875,0.1611,60.257495,0.1638,2.4982437,3.4960836,0.052376572,94.094976,293.72791,1.344,1,,,,1.7433181E-5,7.0689313,184.53662,184.00546,0
1608622.39,,5905,15.4676,15.5568,0.619,9.4E-6,15.419325,0.13879897,3678.8654,33.77,46.578853,0.1979,84.183658,0.2072,0.56928122,4.2674739,0.063086795,94.223422,293.10109,1.254,1,,,,1.9971803E-5,6.9921672,237.75558,238.58796,0
